id,question_id,option_text,is_correct
1,1,"If a water-soluble lubricant is not available, a silicon spray can be substituted.",FALSE
2,1,It can only be placed in the right nostril.,FALSE
3,1,The length of the device is not as important as it is with oropharyngeal airways.,FALSE
4,1,The bevel should be turned toward the nasal septum or the base of the nostril.,TRUE
5,2,Insert the catheter or tip to the desired depth prior to applying suction.,TRUE
6,2,Begin suctioning as you insert the suction tip or catheter into the mouth.,FALSE
7,2,"Suction continuously, both while inserting and withdrawing the suction tip or catheter.",FALSE
8,2,"Suction intermittently, both while inserting and withdrawing the suction tip or catheter.",FALSE
9,3,45,FALSE
10,3,90,FALSE
11,3,270,FALSE
12,3,180,TRUE
13,4,Stridor,FALSE
14,4,Gurgling,FALSE
15,4,Hoarseness,FALSE
16,4,Snoring,TRUE
17,5,perform chest thrusts.,FALSE
18,5,ease the head forward a little.,TRUE
19,5,finger sweep the airway.,FALSE
20,5,tilt the head back further.,FALSE
21,6,300; 30,FALSE
22,6,300; 330,FALSE
23,6,30; 30,FALSE
24,6,30;300,TRUE
25,7,gurgling.,FALSE
26,7,snoring.,FALSE
27,7,stridor.,TRUE
28,7,hoarseness.,FALSE
29,8,45,FALSE
30,8,60,FALSE
31,8,30,FALSE
32,8,10,TRUE
33,9,It eliminates the need for manual positioning of the patient's head to keep the airway open.,FALSE
34,9,It is ideal for patients with a suspected skull fracture.,FALSE
35,9,It may be tolerated by many patients with a gag reflex.,TRUE
36,9,All of these,FALSE
37,10,They cannot be used in a patient with a gag reflex.,TRUE
38,10,They require the use of a water-soluble lubricant.,FALSE
39,10,They cannot be used in patients with a suspected skull fracture.,FALSE
40,10,They do not come in pediatric sizes.,FALSE
41,11,regulator,FALSE
42,11,partial rebreather mask,TRUE
43,11,nasal cannula,FALSE
44,11,tracheostomy mask,FALSE
45,12,The rate does not decrease minute volume; it actually increases it.,FALSE
46,12,The rate causes turbulence in the trachea that increases the friction and decreases the amount of air movement.,FALSE
47,12,The lungs may not have adequate time to fill and exchange gas.,TRUE
48,12,It is due to the delay in the movement of the intercostal muscles and the pleural space.,FALSE
49,13,hyperventilation.,FALSE
50,13,oxygenation.,FALSE
51,13,internal respiration.,TRUE
52,13,external respiration.,FALSE
53,14,2,FALSE
54,14,6,TRUE
55,14,8,FALSE
56,14,4,FALSE
57,15,A patient with upper airway inflammation,FALSE
58,15,A patient with chronic bronchitis,FALSE
59,15,A patient with quadriplegia,FALSE
60,15,A patient with a stoma,TRUE
61,16,"When continuation of a respiratory challenge causes the systems to fail, the pupils to dilate, and the skin to become hot and dry due to the demand for oxygen.",FALSE
62,16,When a compensatory mechanism is no longer needed and the patient goes into respiratory arrest.,FALSE
63,16,"When continuation of a respiratory challenge results in the systems being unable to keep up with the demand, and the skin color and mental status change.",TRUE
64,16,When a patient who is short of breath presents in the tripod position with noisy respirations that suddenly clear up and return to normal.,FALSE
65,17,internal respiration.,FALSE
66,17,diffusion.,FALSE
67,17,pulmonary respiration.,TRUE
68,17,cellular respiration.,FALSE
69,18,cardiac arrest is imminent.,FALSE
70,18,the gag reflex is returning.,FALSE
71,18,air is escaping through a hole in the lung and filling the pleural space.,TRUE
72,18,the patient is becoming more alert and is breathing independently.,FALSE
73,19,"1,000",FALSE
74,19,200,TRUE
75,19,500,FALSE
76,19,300,FALSE
77,20,"Warm dry skin, difficulty breathing, and hypertension",FALSE
78,20,Irreversible shock caused by the lack of blood flowing to the vital organs like the brain and heart,FALSE
79,20,Disease process that robs the patient of adequate breathing and perfusion,FALSE
80,20,Cyanosis (blue or gray skin) and deterioration of the patient's mental status,FALSE
81,21,"The patient's body was pushed forcefully out from under her head, causing injury to the cervical spine.",TRUE
82,21,"The patient impacted the steering wheel with her chest, causing a fracture of the sternum.",FALSE
83,21,"The patient took the down-and-under pathway, causing trauma to her lower extremities.",FALSE
84,21,"The patient took the up-and-over pathway, striking her head on the windshield.",FALSE
85,22,A news media helicopter hovering overhead at the scene of a vehicle collision.,FALSE
86,22,The sound of a barking and growling dog upon approaching the door to a residence.,TRUE
87,22,A vehicle collision involving a tractor-trailer that appears to be empty.,FALSE
88,22,A bystander who is smoking a cigarette at the scene of an assault at a local park.,FALSE
89,23,The need for additional resources must be determined on both medical and trauma calls.,TRUE
90,23,Determining the number of patients is not important on a medical call.,FALSE
91,23,Scene size-up does not play a role in determining the nature of the illness.,FALSE
92,23,Information from bystanders is not important on trauma calls.,FALSE
93,24,Gloves and gown only are needed.,FALSE
94,24,"Gloves, gown, and face mask with eye shield are needed.",TRUE
95,24,There is no need for Standard Precautions because you have no open injuries.,FALSE
96,24,"Gloves, gown, eye protection, and an N-95 or HEPA respirator are needed.",FALSE
97,25,a trauma center.,TRUE
98,25,the closest hospital.,FALSE
99,25,an urgent care center.,FALSE
100,25,a neurosurgery center.,FALSE
101,26,A 300-pound woman complaining of back pain,FALSE
102,26,A call for a sick person at home during which an odor of natural gas is detected,FALSE
103,26,A patient with emphysema who is on oxygen therapy at home,TRUE
104,26,A call to a manufacturing plant where a worker has his hand caught in a machine,FALSE
105,27,The large crowd that has been drinking and is now yelling at you,TRUE
106,27,The fact that the patient has been moved from where she was found,FALSE
107,27,The crowd stating the patient is not breathing,FALSE
108,27,All of these,FALSE
109,28,borrowing turnout gear from the fire department.,FALSE
110,28,putting your unit back in service and leaving the scene.,FALSE
111,28,using your fire extinguisher to put out the fire.,FALSE
112,28,remaining a safe distance from the car until the fire is out.,TRUE
113,29,park about 50 feet from the truck.,FALSE
114,29,consult the Emergency Response Guidebook.,TRUE
115,29,park downwind from the tanker truck.,FALSE
116,29,remove the bystanders from the scene.,FALSE
117,30,Second law of motion,FALSE
118,30,Newton's law of moving energy,FALSE
119,30,Law of inertia,TRUE
120,30,Law of kinetic energy,FALSE
121,31,Reason why the patient summoned EMS,TRUE
122,31,Events immediately preceding the call for EMS,FALSE
123,31,Overall impression of the patient's condition,FALSE
124,31,All of these,FALSE
125,32,The normal pulse rate is slower.,FALSE
126,32,Capillary refill is not as reliable an indicator of circulatory status.,FALSE
127,32,The normal respiratory rate is faster.,TRUE
128,32,An adult's tongue is proportionally larger than that of a child and should always be considered as a potential airway obstruction.,FALSE
129,33,Systematic approach to assessment,TRUE
130,33,Obtaining a detailed medical history,FALSE
131,33,Thorough scene size-up,FALSE
132,33,Use of intuition,FALSE
133,34,Scene size-up,FALSE
134,34,General impression,TRUE
135,34,Primary assessment,FALSE
136,34,Secondary assessment,FALSE
137,35,expose his chest.,FALSE
138,35,ask him if he is okay.,TRUE
139,35,feel for a pulse.,FALSE
140,35,open his airway.,FALSE
141,36,abdominal pain.,FALSE
142,36,allergic reaction.,FALSE
143,36,chest discomfort.,FALSE
144,36,respiratory distress.,TRUE
145,37,To find all of the patient's signs and symptoms,FALSE
146,37,To detect and treat immediately life-threatening problems,TRUE
147,37,To discover trends of improvement or deterioration in the patient's condition,FALSE
148,37,To detect dangers to the patient and/or EMS crew,FALSE
149,38,apply oxygen.,FALSE
150,38,ask him to calm down.,FALSE
151,38,control the bleeding.,TRUE
152,38,assess his airway.,FALSE
153,39,"General impression, mental status, airway, breathing, circulation, patient priority",TRUE
154,39,"Mental status, general impression, airway, breathing, circulation, patient priority",FALSE
155,39,"Patient priority, general impression, mental status, airway, breathing, circulation",FALSE
156,39,None of these,FALSE
157,40,3-year-old child with a fever and cough,TRUE
158,40,50-year-old woman complaining of chest pain,FALSE
159,40,24-year-old homeless man who has spent the night outside in the rain,FALSE
160,40,92-year-old man complaining of weakness on his right side,FALSE
161,41,"Color, equality, and reactivity",FALSE
162,41,"Reactivity, gaze, and equality",FALSE
163,41,"Movement, gaze, and equality",FALSE
164,41,"Size, equality, and reactivity",TRUE
165,42,Insert an airway adjunct.,FALSE
166,42,Quickly check the pulse.,FALSE
167,42,Suction the airway.,TRUE
168,42,Open the airway with a head tilt.,FALSE
169,43,91 percent,FALSE
170,43,102 percent,FALSE
171,43,95 percent,FALSE
172,43,98 percent,TRUE
173,44,warm the patient's hands and try again.,TRUE
174,44,try a different pulse oximeter.,FALSE
175,44,place the probe on the patient's earlobe.,FALSE
